"","PSID","Gene","Module"
"CD163","CD163","CD163","yellow"
"CCL3","CCL3","CCL3","turquoise"
"VGF","VGF","VGF","midnightblue"
"GEM","GEM","GEM","blue"
"DDC","DDC","DDC","lightgreen"
"SST","SST","SST","midnightblue"
"IL18R1","IL18R1","IL18R1","blue"
"ITIH2","ITIH2","ITIH2","pink"
"CCL2","CCL2","CCL2","darkgreen"
"ADH1B","ADH1B","ADH1B","pink"
"CHI3L2","CHI3L2","CHI3L2","darkgreen"
"TAGLN","TAGLN","TAGLN","blue"
"VCAM1","VCAM1","VCAM1","pink"
"ACTA2","ACTA2","ACTA2","blue"
"ACTG2","ACTG2","ACTG2","blue"
"CTAG2","CTAG2","CTAG2","brown"
"DUSP4","DUSP4","DUSP4","midnightblue"
"RASSF8","RASSF8","RASSF8","brown"
"COL3A1","COL3A1","COL3A1","pink"
"MYH11","MYH11","MYH11","blue"
"IL1RL1","IL1RL1","IL1RL1","blue"
"LILRB5","LILRB5","LILRB5","pink"
"CD24","CD24","CD24","turquoise"
"CTGF","CTGF","CTGF","blue"
"ITGA2","ITGA2","ITGA2","turquoise"
"MAFF","MAFF","MAFF","blue"
"GSTM5","GSTM5","GSTM5","turquoise"
"CTAG1A","CTAG1A","CTAG1A","brown"
"C1QB","C1QB","C1QB","yellow"
"COL8A1","COL8A1","COL8A1","blue"
"NR4A2","NR4A2","NR4A2","pink"
"EDN1","EDN1","EDN1","blue"
"ADCYAP1","ADCYAP1","ADCYAP1","midnightblue"
"SFN","SFN","SFN","darkgreen"
"CXCR4","CXCR4","CXCR4","yellow"
"RRAD","RRAD","RRAD","blue"
"SERPINH1","SERPINH1","SERPINH1","lightcyan"
"ITGB1BP1","ITGB1BP1","ITGB1BP1","turquoise"
"SLPI","SLPI","SLPI","pink"
"SLC26A2","SLC26A2","SLC26A2","pink"
"IGJ","IGJ","IGJ","blue"
"HPR","HPR","HPR","blue"
"HSPA6","HSPA6","HSPA6","lightcyan"
"GRIN2B","GRIN2B","GRIN2B","turquoise"
"HOXA10","HOXA10","HOXA10","blue"
"AGTR1","AGTR1","AGTR1","pink"
"S100A1","S100A1","S100A1","magenta"
"C1QA","C1QA","C1QA","yellow"
"LUM","LUM","LUM","pink"
"FKBP8","FKBP8","FKBP8","magenta"
"TAC1","TAC1","TAC1","turquoise"
"MKNK2","MKNK2","MKNK2","lightcyan"
"PI15","PI15","PI15","blue"
"NPY","NPY","NPY","turquoise"
"LIPG","LIPG","LIPG","blue"
"EGR4","EGR4","EGR4","turquoise"
"TCF7","TCF7","TCF7","brown"
"IL18RAP","IL18RAP","IL18RAP","yellow"
"HIST1H1C","HIST1H1C","HIST1H1C","blue"
"GDF15","GDF15","GDF15","pink"
"BMP5","BMP5","BMP5","pink"
"MIA","MIA","MIA","blue"
"IFITM2","IFITM2","IFITM2","yellow"
"PAX3","PAX3","PAX3","turquoise"
"AQP1","AQP1","AQP1","blue"
"PVALB","PVALB","PVALB","brown"
"HP","HP","HP","blue"
"TEX13A","TEX13A","TEX13A","turquoise"
"SEPP1","SEPP1","SEPP1","green"
"PENK","PENK","PENK","turquoise"
"GAS1","GAS1","GAS1","pink"
"PCSK1","PCSK1","PCSK1","turquoise"
"GAP43","GAP43","GAP43","brown"
"SLC7A11","SLC7A11","SLC7A11","blue"
"HIST1H2BD","HIST1H2BD","HIST1H2BD","blue"
"TSPAN15","TSPAN15","TSPAN15","red"
"HAMP","HAMP","HAMP","yellow"
"SLC6A3","SLC6A3","SLC6A3","lightgreen"
"S100A4","S100A4","S100A4","blue"
"LHCGR","LHCGR","LHCGR","pink"
"TXNIP","TXNIP","TXNIP","purple"
"RAB3A","RAB3A","RAB3A","magenta"
"BGN","BGN","BGN","blue"
"LILRB3","LILRB3","LILRB3","yellow"
"RORA","RORA","RORA","brown"
"HLA-DQB1","HLA-DQB1","HLA-DQB1","yellow"
"VSIG4","VSIG4","VSIG4","yellow"
"RNASE2","RNASE2","RNASE2","yellow"
"GPNMB","GPNMB","GPNMB","yellow"
"GRIA3","GRIA3","GRIA3","turquoise"
"ALLC","ALLC","ALLC","pink"
"CD44","CD44","CD44","darkgreen"
"ENSA","ENSA","ENSA","tan"
"SLC30A4","SLC30A4","SLC30A4","turquoise"
"HSD11B2","HSD11B2","HSD11B2","blue"
"GJA1","GJA1","GJA1","purple"
"SERPINA5","SERPINA5","SERPINA5","darkgreen"
"NR6A1","NR6A1","NR6A1","blue"
"NFE2","NFE2","NFE2","yellow"
"CES1","CES1","CES1","pink"
"OR7A17","OR7A17","OR7A17","blue"
"HSD11B1","HSD11B1","HSD11B1","red"
"ADARB2","ADARB2","ADARB2","green"
"CCL19","CCL19","CCL19","turquoise"
"DIO2","DIO2","DIO2","turquoise"
"MOBP","MOBP","MOBP","red"
"MS4A6A","MS4A6A","MS4A6A","yellow"
"CFI","CFI","CFI","darkgreen"
"TGFBI","TGFBI","TGFBI","pink"
"DLK1","DLK1","DLK1","lightgreen"
"SYT1","SYT1","SYT1","turquoise"
"GPR17","GPR17","GPR17","green"
"FRZB","FRZB","FRZB","pink"
"DDX3Y","DDX3Y","DDX3Y","blue"
"RNASE3","RNASE3","RNASE3","yellow"
"AQP4","AQP4","AQP4","grey60"
"RIPK4","RIPK4","RIPK4","pink"
"BCAS1","BCAS1","BCAS1","red"
"HBG1","HBG1","HBG1","blue"
"CBX8","CBX8","CBX8","green"
"TH","TH","TH","lightgreen"
"SYCP1","SYCP1","SYCP1","turquoise"
"CLEC3B","CLEC3B","CLEC3B","pink"
"CAMP","CAMP","CAMP","turquoise"
"ALOX15","ALOX15","ALOX15","lightcyan"
"FGL2","FGL2","FGL2","pink"
"IGFBP4","IGFBP4","IGFBP4","blue"
"HLA-G","HLA-G","HLA-G","blue"
"CCL14","CCL14","CCL14","pink"
"F3","F3","F3","darkgreen"
"SCGB1D2","SCGB1D2","SCGB1D2","purple"
"BPESC1","BPESC1","BPESC1","turquoise"
"CCL8","CCL8","CCL8","turquoise"
"STC1","STC1","STC1","yellow"
"C7","C7","C7","pink"
"SLC4A10","SLC4A10","SLC4A10","tan"
"FKBP5","FKBP5","FKBP5","blue"
"CLPTM1","CLPTM1","CLPTM1","brown"
"SLC22A2","SLC22A2","SLC22A2","pink"
"IER3","IER3","IER3","blue"
"RAB3B","RAB3B","RAB3B","turquoise"
"FGF7","FGF7","FGF7","turquoise"
"COL1A2","COL1A2","COL1A2","pink"
"CCL15","CCL15","CCL15","pink"
"LOX","LOX","LOX","blue"
"KRT5","KRT5","KRT5","midnightblue"
"FOSB","FOSB","FOSB","turquoise"
"PEX6","PEX6","PEX6","blue"
"MICA","MICA","MICA","purple"
"NTRK2","NTRK2","NTRK2","turquoise"
"QDPR","QDPR","QDPR","darkred"
"COL6A3","COL6A3","COL6A3","pink"
"DDX43","DDX43","DDX43","blue"
"CEBPD","CEBPD","CEBPD","blue"
"MYBPC1","MYBPC1","MYBPC1","purple"
"RGR","RGR","RGR","blue"
"PLA1A","PLA1A","PLA1A","cyan"
"PLXNB3","PLXNB3","PLXNB3","green"
"TSPAN8","TSPAN8","TSPAN8","red"
"MICB","MICB","MICB","lightcyan"
"TF","TF","TF","red"
"HOXD1","HOXD1","HOXD1","red"
"CCKAR","CCKAR","CCKAR","turquoise"
"CD14","CD14","CD14","yellow"
"GBP2","GBP2","GBP2","darkgreen"
"LCN2","LCN2","LCN2","turquoise"
"BARX1","BARX1","BARX1","blue"
"KLF2","KLF2","KLF2","blue"
"TPM2","TPM2","TPM2","blue"
"FBXO40","FBXO40","FBXO40","turquoise"
"SLAMF8","SLAMF8","SLAMF8","yellow"
"GADD45B","GADD45B","GADD45B","yellow"
"MEOX2","MEOX2","MEOX2","pink"
"FAM107A","FAM107A","FAM107A","purple"
"AZGP1","AZGP1","AZGP1","blue"
"MYOT","MYOT","MYOT","blue"
"CNGA1","CNGA1","CNGA1","turquoise"
"STMN2","STMN2","STMN2","brown"
"RBM3","RBM3","RBM3","turquoise"
"ALDH1A1","ALDH1A1","ALDH1A1","lightgreen"
"CALB1","CALB1","CALB1","tan"
"TNC","TNC","TNC","brown"
"PCDHGA9","PCDHGA9","PCDHGA9","magenta"
"CFH","CFH","CFH","pink"
"CD36","CD36","CD36","turquoise"
"PCDH8","PCDH8","PCDH8","brown"
"CST7","CST7","CST7","yellow"
"TLN1","TLN1","TLN1","blue"
"KCNC3","KCNC3","KCNC3","turquoise"
"FPR1","FPR1","FPR1","yellow"
"IGFBP5","IGFBP5","IGFBP5","pink"
"SCG2","SCG2","SCG2","brown"
"IFNA21","IFNA21","IFNA21","blue"
"CLEC5A","CLEC5A","CLEC5A","yellow"
"HAND2","HAND2","HAND2","blue"
"GLI1","GLI1","GLI1","blue"
"PCDHGB6","PCDHGB6","PCDHGB6","magenta"
"UCHL1","UCHL1","UCHL1","turquoise"
"CD68","CD68","CD68","yellow"
"PRELP","PRELP","PRELP","pink"
"FOLH1","FOLH1","FOLH1","red"
"TIMP1","TIMP1","TIMP1","yellow"
"ALX3","ALX3","ALX3","pink"
"DMBT1","DMBT1","DMBT1","red"
"PTK2B","PTK2B","PTK2B","magenta"
"NAT1","NAT1","NAT1","blue"
"CHORDC1","CHORDC1","CHORDC1","lightcyan"
"PDK4","PDK4","PDK4","blue"
"ST14","ST14","ST14","yellow"
"PDLIM4","PDLIM4","PDLIM4","blue"
"CCR5","CCR5","CCR5","yellow"
"FCGR2B","FCGR2B","FCGR2B","pink"
"FOS","FOS","FOS","yellow"
"NEFL","NEFL","NEFL","brown"
"SMAD6","SMAD6","SMAD6","blue"
"HBD","HBD","HBD","turquoise"
"CBLN1","CBLN1","CBLN1","lightgreen"
"NIN","NIN","NIN","magenta"
"MSR1","MSR1","MSR1","yellow"
"ZIC1","ZIC1","ZIC1","pink"
"CD86","CD86","CD86","yellow"
"KCNJ16","KCNJ16","KCNJ16","purple"
"RPE65","RPE65","RPE65","turquoise"
"BASP1","BASP1","BASP1","brown"
"RAMP2","RAMP2","RAMP2","greenyellow"
"ABCA8","ABCA8","ABCA8","red"
"IL18","IL18","IL18","yellow"
"ID3","ID3","ID3","blue"
"S100A11","S100A11","S100A11","yellow"
"SLC17A6","SLC17A6","SLC17A6","brown"
"DUSP6","DUSP6","DUSP6","midnightblue"
"BDNF","BDNF","BDNF","midnightblue"
"CIRBP","CIRBP","CIRBP","turquoise"
"MMP10","MMP10","MMP10","blue"
"FOXC1","FOXC1","FOXC1","pink"
"PRKY","PRKY","PRKY","blue"
"MPZ","MPZ","MPZ","blue"
"USH1C","USH1C","USH1C","red"
"GLUL","GLUL","GLUL","purple"
"GBP1","GBP1","GBP1","darkgreen"
"TFPI2","TFPI2","TFPI2","pink"
"ATP12A","ATP12A","ATP12A","turquoise"
"MBNL1","MBNL1","MBNL1","turquoise"
"FOXA1","FOXA1","FOXA1","lightgreen"
"PTGFR","PTGFR","PTGFR","pink"
"AEBP1","AEBP1","AEBP1","yellow"
"GDAP1","GDAP1","GDAP1","tan"
"PLA2G5","PLA2G5","PLA2G5","turquoise"
"APOC2","APOC2","APOC2","yellow"
"PITPNB","PITPNB","PITPNB","tan"
"SCGN","SCGN","SCGN","blue"
"NEK2","NEK2","NEK2","turquoise"
"C5AR1","C5AR1","C5AR1","yellow"
"NEUROD6","NEUROD6","NEUROD6","midnightblue"
"IFI30","IFI30","IFI30","yellow"
"DUSP1","DUSP1","DUSP1","blue"
"MAG","MAG","MAG","red"
"KCNJ6","KCNJ6","KCNJ6","lightgreen"
"CD74","CD74","CD74","yellow"
"CALB2","CALB2","CALB2","brown"
"ATP1A2","ATP1A2","ATP1A2","royalblue"
"KLK5","KLK5","KLK5","turquoise"
"CPVL","CPVL","CPVL","yellow"
"HLA-DRA","HLA-DRA","HLA-DRA","yellow"
"APOC1","APOC1","APOC1","yellow"
"PDLIM7","PDLIM7","PDLIM7","blue"
"PCSK7","PCSK7","PCSK7","brown"
"SS18","SS18","SS18","turquoise"
"HES1","HES1","HES1","blue"
"PTGIS","PTGIS","PTGIS","pink"
"CST3","CST3","CST3","royalblue"
"RARA","RARA","RARA","magenta"
"CD180","CD180","CD180","yellow"
"RLBP1","RLBP1","RLBP1","turquoise"
"MATN3","MATN3","MATN3","blue"
"EMP1","EMP1","EMP1","darkgreen"
"EFEMP1","EFEMP1","EFEMP1","purple"
"CNTFR","CNTFR","CNTFR","magenta"
"NOV","NOV","NOV","pink"
"EVI2A","EVI2A","EVI2A","red"
"NEFH","NEFH","NEFH","brown"
"MAP2","MAP2","MAP2","turquoise"
"CHRM5","CHRM5","CHRM5","brown"
"POMC","POMC","POMC","turquoise"
"CA2","CA2","CA2","blue"
"GPRC5A","GPRC5A","GPRC5A","pink"
"LMO3","LMO3","LMO3","tan"
"CFB","CFB","CFB","pink"
"S100A10","S100A10","S100A10","yellow"
"FCGR2A","FCGR2A","FCGR2A","yellow"
"SORD","SORD","SORD","brown"
"GADD45G","GADD45G","GADD45G","purple"
"ADH1A","ADH1A","ADH1A","pink"
"CAMK2A","CAMK2A","CAMK2A","brown"
"SYN2","SYN2","SYN2","tan"
"IMPDH2","IMPDH2","IMPDH2","turquoise"
"PGAM2","PGAM2","PGAM2","blue"
"MX2","MX2","MX2","turquoise"
"EDIL3","EDIL3","EDIL3","red"
"APBB1IP","APBB1IP","APBB1IP","yellow"
"CRLF1","CRLF1","CRLF1","purple"
"RAC3","RAC3","RAC3","turquoise"
"THBS1","THBS1","THBS1","yellow"
"TWIST1","TWIST1","TWIST1","pink"
"TNS1","TNS1","TNS1","blue"
"CLUL1","CLUL1","CLUL1","turquoise"
"HSPH1","HSPH1","HSPH1","lightcyan"
"GJA4","GJA4","GJA4","blue"
"LHX1","LHX1","LHX1","blue"
"TYMS","TYMS","TYMS","red"
"RHAG","RHAG","RHAG","blue"
"GMNN","GMNN","GMNN","purple"
"GREM1","GREM1","GREM1","red"
"HAPLN2","HAPLN2","HAPLN2","green"
"GADD45A","GADD45A","GADD45A","darkgreen"
"KLF5","KLF5","KLF5","pink"
"SLC38A2","SLC38A2","SLC38A2","blue"
"CD226","CD226","CD226","turquoise"
"ALOX5AP","ALOX5AP","ALOX5AP","yellow"
"C21orf62","C21orf62","C21orf62","blue"
"CISH","CISH","CISH","brown"
"NDRG1","NDRG1","NDRG1","darkred"
"TRIP10","TRIP10","TRIP10","blue"
"COL1A1","COL1A1","COL1A1","pink"
"HLA-C","HLA-C","HLA-C","black"
"PLP1","PLP1","PLP1","red"
"TNF","TNF","TNF","yellow"
"CNN2","CNN2","CNN2","blue"
"KRT19","KRT19","KRT19","pink"
"SPINK2","SPINK2","SPINK2","turquoise"
"TYROBP","TYROBP","TYROBP","yellow"
"ARNT","ARNT","ARNT","turquoise"
"PDE11A","PDE11A","PDE11A","red"
"SYNGR3","SYNGR3","SYNGR3","brown"
"LILRB2","LILRB2","LILRB2","yellow"
"ENOSF1","ENOSF1","ENOSF1","red"
"FABP5","FABP5","FABP5","darkgreen"
"CD99","CD99","CD99","blue"
"CA14","CA14","CA14","red"
"TLR8","TLR8","TLR8","yellow"
"WISP2","WISP2","WISP2","blue"
"S100A6","S100A6","S100A6","blue"
"CHGB","CHGB","CHGB","brown"
"NFKBIA","NFKBIA","NFKBIA","blue"
"KLK7","KLK7","KLK7","turquoise"
"SLC11A1","SLC11A1","SLC11A1","yellow"
"HS3ST2","HS3ST2","HS3ST2","turquoise"
"FOXF1","FOXF1","FOXF1","blue"
"NR4A3","NR4A3","NR4A3","midnightblue"
"DLG4","DLG4","DLG4","brown"
"PPP1R3C","PPP1R3C","PPP1R3C","purple"
"SLC1A3","SLC1A3","SLC1A3","purple"
"PDE6B","PDE6B","PDE6B","red"
"RELN","RELN","RELN","midnightblue"
"PMP2","PMP2","PMP2","darkgreen"
"POSTN","POSTN","POSTN","pink"
"COL9A3","COL9A3","COL9A3","red"
"KCNQ1DN","KCNQ1DN","KCNQ1DN","red"
"IL10","IL10","IL10","pink"
"MSX1","MSX1","MSX1","pink"
"CSF3R","CSF3R","CSF3R","yellow"
"MTHFD2","MTHFD2","MTHFD2","blue"
"SLC16A1","SLC16A1","SLC16A1","blue"
"PHLDA2","PHLDA2","PHLDA2","turquoise"
"PCDHB11","PCDHB11","PCDHB11","brown"
"NDRG4","NDRG4","NDRG4","brown"
"H1F0","H1F0","H1F0","brown"
"NEUROD2","NEUROD2","NEUROD2","magenta"
"GCG","GCG","GCG","blue"
"HOXB1","HOXB1","HOXB1","turquoise"
"IL10RA","IL10RA","IL10RA","yellow"
"FGF12","FGF12","FGF12","turquoise"
"SERPINA1","SERPINA1","SERPINA1","yellow"
"EDAR","EDAR","EDAR","blue"
"CDA","CDA","CDA","blue"
"IGF1","IGF1","IGF1","midnightblue"
"ADAMTS1","ADAMTS1","ADAMTS1","blue"
"ACTB","ACTB","ACTB","magenta"
"MRC2","MRC2","MRC2","pink"
"DLX2","DLX2","DLX2","turquoise"
"IL17RB","IL17RB","IL17RB","blue"
"CD48","CD48","CD48","yellow"
"AQP9","AQP9","AQP9","yellow"
"ANXA3","ANXA3","ANXA3","blue"
"SLC7A2","SLC7A2","SLC7A2","blue"
"ANXA2","ANXA2","ANXA2","yellow"
"VAV3","VAV3","VAV3","royalblue"
"MUC4","MUC4","MUC4","pink"
"HMOX1","HMOX1","HMOX1","yellow"
"IFITM1","IFITM1","IFITM1","yellow"
"IFI44L","IFI44L","IFI44L","turquoise"
"CCDC19","CCDC19","CCDC19","brown"
"VHL","VHL","VHL","turquoise"
"PCP4","PCP4","PCP4","turquoise"
"FFAR3","FFAR3","FFAR3","green"
"THY1","THY1","THY1","brown"
"NTSR1","NTSR1","NTSR1","lightgreen"
"MMRN1","MMRN1","MMRN1","blue"
"FGF13","FGF13","FGF13","brown"
"HYAL2","HYAL2","HYAL2","cyan"
"C3","C3","C3","yellow"
"KCNJ15","KCNJ15","KCNJ15","yellow"
"FZD7","FZD7","FZD7","blue"
"CITED2","CITED2","CITED2","turquoise"
"IL15RA","IL15RA","IL15RA","blue"
"CHRNA5","CHRNA5","CHRNA5","blue"
"SIX3","SIX3","SIX3","blue"
"ID1","ID1","ID1","cyan"
"IFITM3","IFITM3","IFITM3","yellow"
"ATP2A3","ATP2A3","ATP2A3","lightgreen"
"SELL","SELL","SELL","yellow"
"CD69","CD69","CD69","yellow"
"TREM2","TREM2","TREM2","yellow"
"CLEC2B","CLEC2B","CLEC2B","blue"
"EBI3","EBI3","EBI3","yellow"
"ID4","ID4","ID4","purple"
"SCD","SCD","SCD","turquoise"
"ADORA3","ADORA3","ADORA3","yellow"
"KMO","KMO","KMO","midnightblue"
"EDNRB","EDNRB","EDNRB","royalblue"
"STX11","STX11","STX11","yellow"
"HMGA2","HMGA2","HMGA2","blue"
"TNFRSF8","TNFRSF8","TNFRSF8","turquoise"
"DNAJB4","DNAJB4","DNAJB4","lightcyan"
"NPTXR","NPTXR","NPTXR","magenta"
"DTNA","DTNA","DTNA","darkgreen"
"SLCO1C1","SLCO1C1","SLCO1C1","royalblue"
"IL1RAPL2","IL1RAPL2","IL1RAPL2","turquoise"
"CDKN1A","CDKN1A","CDKN1A","yellow"
"IL15","IL15","IL15","blue"
"ABCA1","ABCA1","ABCA1","purple"
"COL15A1","COL15A1","COL15A1","pink"
"RHO","RHO","RHO","salmon"
"SNCG","SNCG","SNCG","magenta"
"SDC4","SDC4","SDC4","royalblue"
"CTSC","CTSC","CTSC","yellow"
"SCN3B","SCN3B","SCN3B","turquoise"
"PRRX2","PRRX2","PRRX2","pink"
"SLC7A7","SLC7A7","SLC7A7","yellow"
"RGS4","RGS4","RGS4","turquoise"
"AIF1","AIF1","AIF1","yellow"
"GNMT","GNMT","GNMT","turquoise"
"FXYD1","FXYD1","FXYD1","royalblue"
"ZFP36","ZFP36","ZFP36","yellow"
"SEMA3E","SEMA3E","SEMA3E","turquoise"
"TPD52L1","TPD52L1","TPD52L1","blue"
"PDPN","PDPN","PDPN","darkgreen"
"INADL","INADL","INADL","blue"
"CYTL1","CYTL1","CYTL1","yellow"
"COL10A1","COL10A1","COL10A1","turquoise"
"COCH","COCH","COCH","pink"
"PKP2","PKP2","PKP2","pink"
"IRF5","IRF5","IRF5","yellow"
"CRHBP","CRHBP","CRHBP","midnightblue"
"PDYN","PDYN","PDYN","brown"
"RAB5C","RAB5C","RAB5C","brown"
"CHGA","CHGA","CHGA","brown"
"TRH","TRH","TRH","turquoise"
"LCP1","LCP1","LCP1","yellow"
"STMN4","STMN4","STMN4","red"
"AKR1C3","AKR1C3","AKR1C3","blue"
"TEX14","TEX14","TEX14","blue"
"BHMT","BHMT","BHMT","red"
"CRYM","CRYM","CRYM","midnightblue"
"GAPDH","GAPDH","GAPDH","turquoise"
"AKT3","AKT3","AKT3","blue"
"EFNA2","EFNA2","EFNA2","turquoise"
"SPAG6","SPAG6","SPAG6","red"
"CLSTN2","CLSTN2","CLSTN2","lightgreen"
"TINAGL1","TINAGL1","TINAGL1","blue"
"RAC1","RAC1","RAC1","turquoise"
"INA","INA","INA","brown"
"MSLN","MSLN","MSLN","blue"
"SEMA3G","SEMA3G","SEMA3G","red"
"ITPKB","ITPKB","ITPKB","blue"
"GPX3","GPX3","GPX3","turquoise"
"HOXB2","HOXB2","HOXB2","blue"
"LRP2","LRP2","LRP2","green"
"COLEC12","COLEC12","COLEC12","pink"
"RARRES3","RARRES3","RARRES3","darkgreen"
"CLEC10A","CLEC10A","CLEC10A","yellow"
"THBS2","THBS2","THBS2","red"
"FGF4","FGF4","FGF4","turquoise"
"HIST2H2BE","HIST2H2BE","HIST2H2BE","blue"
"SERPINB9","SERPINB9","SERPINB9","brown"
"FABP7","FABP7","FABP7","brown"
"SPARC","SPARC","SPARC","lightgreen"
"UBE2C","UBE2C","UBE2C","blue"
"DKK1","DKK1","DKK1","brown"
"SERPINA6","SERPINA6","SERPINA6","darkgreen"
"SLC2A5","SLC2A5","SLC2A5","yellow"
"OR12D3","OR12D3","OR12D3","turquoise"
"FA2H","FA2H","FA2H","red"
"LAMB3","LAMB3","LAMB3","turquoise"
"KLKB1","KLKB1","KLKB1","blue"
"OAS1","OAS1","OAS1","turquoise"
"UCP2","UCP2","UCP2","yellow"
"A4GALT","A4GALT","A4GALT","blue"
"SOX18","SOX18","SOX18","cyan"
"TTPA","TTPA","TTPA","blue"
"ROR1","ROR1","ROR1","blue"
"KRT18","KRT18","KRT18","pink"
"CYBB","CYBB","CYBB","yellow"
"FGF2","FGF2","FGF2","blue"
"PTPRN","PTPRN","PTPRN","magenta"
"CA4","CA4","CA4","red"
"P4HA1","P4HA1","P4HA1","lightcyan"
"MET","MET","MET","turquoise"
"APLP1","APLP1","APLP1","greenyellow"
"OSR2","OSR2","OSR2","blue"
"CNTN6","CNTN6","CNTN6","turquoise"
"TNFRSF12A","TNFRSF12A","TNFRSF12A","blue"
"CNTN2","CNTN2","CNTN2","red"
"TUBB3","TUBB3","TUBB3","brown"
"GABRA1","GABRA1","GABRA1","turquoise"
"CLCA4","CLCA4","CLCA4","turquoise"
"ANXA1","ANXA1","ANXA1","yellow"
"HLA-DMB","HLA-DMB","HLA-DMB","yellow"
"MEPE","MEPE","MEPE","brown"
"MMP1","MMP1","MMP1","turquoise"
"TPBG","TPBG","TPBG","turquoise"
"ARSF","ARSF","ARSF","turquoise"
"PLA2R1","PLA2R1","PLA2R1","pink"
"POU2F3","POU2F3","POU2F3","brown"
"SLC6A14","SLC6A14","SLC6A14","blue"
"PLAT","PLAT","PLAT","cyan"
"BCAP29","BCAP29","BCAP29","blue"
"DIO3","DIO3","DIO3","blue"
"ECM2","ECM2","ECM2","pink"
"JUN","JUN","JUN","turquoise"
"THBD","THBD","THBD","yellow"
"NOTCH3","NOTCH3","NOTCH3","blue"
"MYBPH","MYBPH","MYBPH","blue"
"DYSF","DYSF","DYSF","green"
"ADAM12","ADAM12","ADAM12","pink"
"HIPK2","HIPK2","HIPK2","green"
"CYB5R2","CYB5R2","CYB5R2","red"
"RHOH","RHOH","RHOH","brown"
"LAMP2","LAMP2","LAMP2","blue"
